cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,nj,lj,jaceps,gamma
0051,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.0001,true,0,0,0.1,0.5
0052,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.005,true,0,0,0.1,0.5
0053,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.001,true,0,0,0.1,0.5
0054,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.005,true,0,0,0.1,0.5
0055,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.01,true,0,0,0.1,0.5
0056,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.05,true,0,0,0.1,0.5
0057,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.1,true,0,0,0.1,0.5
0058,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.5,true,0,0,0.1,0.5
0059,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,1,true,0,0,0.1,0.5
0060,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0,true,0,0,0.1,0.5
0061,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.0001,true,0,0,0.1,0.5
0062,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.005,true,0,0,0.1,0.5
0063,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.001,true,0,0,0.1,0.5
0064,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.005,true,0,0,0.1,0.5
0065,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.01,true,0,0,0.1,0.5
0066,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.05,true,0,0,0.1,0.5
0067,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.1,true,0,0,0.1,0.5
0068,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,0.5,true,0,0,0.1,0.5
0069,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.001,1,true,0,0,0.1,0.5
0070,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0,true,0,0,0.1,0.5
0071,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.0001,true,0,0,0.1,0.5
0072,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.005,true,0,0,0.1,0.5
0073,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.001,true,0,0,0.1,0.5
0074,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.005,true,0,0,0.1,0.5
0075,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.01,true,0,0,0.1,0.5
0076,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.05,true,0,0,0.1,0.5
0077,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.1,true,0,0,0.1,0.5
0078,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,0.5,true,0,0,0.1,0.5
0079,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.005,1,true,0,0,0.1,0.5
0080,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0,true,0,0,0.1,0.5
0081,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.0001,true,0,0,0.1,0.5
0082,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.005,true,0,0,0.1,0.5
0083,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.001,true,0,0,0.1,0.5
0084,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.005,true,0,0,0.1,0.5
0085,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.01,true,0,0,0.1,0.5
0086,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.05,true,0,0,0.1,0.5
0087,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.1,true,0,0,0.1,0.5
0088,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,0.5,true,0,0,0.1,0.5
0089,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.01,1,true,0,0,0.1,0.5
0090,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0,true,0,0,0.1,0.5
0091,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.0001,true,0,0,0.1,0.5
0092,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.005,true,0,0,0.1,0.5
0093,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.001,true,0,0,0.1,0.5
0094,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.005,true,0,0,0.1,0.5
0095,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.01,true,0,0,0.1,0.5
0096,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.05,true,0,0,0.1,0.5
0097,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.1,true,0,0,0.1,0.5
0098,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,0.5,true,0,0,0.1,0.5
0099,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.05,1,true,0,0,0.1,0.5
0100,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.1,0,true,0,0,0.1,0.5
0101,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.1,0.0001,true,0,0,0.1,0.5
0102,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.1,0.005,true,0,0,0.1,0.5
0103,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,1,0.1,0.001,true,0,0,0.1,0.5
