cfgid,usemsk,srcmsk,interp,pyramid,sim,bins,samples,iters,step,adaptive,auto,alpha,A,a,ds,be
0084,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0085,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0086,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0087,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0088,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0089,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0090,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,2500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0091,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0092,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0093,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0094,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0
0095,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0096,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0097,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0098,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.01
0099,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0100,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0101,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0102,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,0.5,true,false,1.0,50,50000 100000 200000 500000,2.5,0.1
0103,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0104,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0105,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0106,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0107,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0108,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0
0109,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0110,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0111,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0112,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0113,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0114,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.01
0115,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,100,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0116,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,300,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0117,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0118,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0119,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,1500,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
0120,true,true,Linear,Recursive,NormalizedMutualInformation,64,1000 2000 4000 8000,2000,1,true,false,1.0,50,50000 100000 200000 500000,5.0,0.1
