cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,le_world,tp,vp,jaceps,gamma
0060,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.01,0,false,true,0,0.01,0.1,0.5
0061,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.01,0,false,false,0,0.01,0.1,0.5
0062,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.1,0,true,true,0,0.01,0.1,0.5
0063,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.1,0,true,false,0,0.01,0.1,0.5
0064,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.1,0,false,true,0,0.01,0.1,0.5
0065,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0.1,0,false,false,0,0.01,0.1,0.5
0066,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,0,0,0,true,false,0,0.01,0.1,0.5
0067,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.001,true,true,0,0.01,0.1,0.5
0068,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.001,true,false,0,0.01,0.1,0.5
0069,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.001,false,true,0,0.01,0.1,0.5
0070,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.001,false,false,0,0.01,0.1,0.5
0071,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.01,true,true,0,0.01,0.1,0.5
0072,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.01,true,false,0,0.01,0.1,0.5
0073,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.01,false,true,0,0.01,0.1,0.5
0074,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.01,false,false,0,0.01,0.1,0.5
0075,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.1,true,true,0,0.01,0.1,0.5
0076,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.1,true,false,0,0.01,0.1,0.5
0077,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.1,false,true,0,0.01,0.1,0.5
0078,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,1,0,0.1,false,false,0,0.01,0.1,0.5
0079,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,0,0,0,true,false,0,0,0.1,0.5
0080,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,true,0,0,0.1,0.5
0081,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,false,0,0,0.1,0.5
0082,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,true,0,0,0.1,0.5
0083,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,false,0,0,0.1,0.5
0084,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,true,true,0,0,0.1,0.5
0085,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,true,false,0,0,0.1,0.5
0086,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,false,true,0,0,0.1,0.5
0087,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,false,false,0,0,0.1,0.5
0088,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,true,true,0,0,0.1,0.5
0089,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,true,false,0,0,0.1,0.5
0090,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,false,true,0,0,0.1,0.5
0091,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,false,false,0,0,0.1,0.5
0092,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,0,0,0,true,false,0,0,0.1,0.5
0093,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,true,true,0,0,0.1,0.5
0094,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,true,false,0,0,0.1,0.5
0095,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,false,true,0,0,0.1,0.5
0096,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,false,false,0,0,0.1,0.5
0097,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,true,true,0,0,0.1,0.5
0098,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,true,false,0,0,0.1,0.5
0099,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,false,true,0,0,0.1,0.5
0100,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,false,false,0,0,0.1,0.5
0101,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,true,true,0,0,0.1,0.5
0102,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,true,false,0,0,0.1,0.5
0103,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,false,true,0,0,0.1,0.5
0104,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,false,false,0,0,0.1,0.5
0105,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,0,0,0,true,false,0,0.001,0.1,0.5
0106,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,true,0,0.001,0.1,0.5
0107,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,false,0,0.001,0.1,0.5
0108,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,true,0,0.001,0.1,0.5
0109,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,false,0,0.001,0.1,0.5
0110,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,true,true,0,0.001,0.1,0.5
0111,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,true,false,0,0.001,0.1,0.5
0112,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,false,true,0,0.001,0.1,0.5
0113,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,false,false,0,0.001,0.1,0.5
0114,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,true,true,0,0.001,0.1,0.5
0115,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,true,false,0,0.001,0.1,0.5
0116,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,false,true,0,0.001,0.1,0.5
0117,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.1,0,false,false,0,0.001,0.1,0.5
0118,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,0,0,0,true,false,0,0.001,0.1,0.5
0119,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,true,true,0,0.001,0.1,0.5
0120,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,true,false,0,0.001,0.1,0.5
0121,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,false,true,0,0.001,0.1,0.5
0122,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.001,false,false,0,0.001,0.1,0.5
0123,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,true,true,0,0.001,0.1,0.5
0124,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,true,false,0,0.001,0.1,0.5
0125,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,false,true,0,0.001,0.1,0.5
0126,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.01,false,false,0,0.001,0.1,0.5
0127,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,true,true,0,0.001,0.1,0.5
0128,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,true,false,0,0.001,0.1,0.5
0129,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,false,true,0,0.001,0.1,0.5
0130,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0,0.1,false,false,0,0.001,0.1,0.5
0131,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,0,0,0,true,false,0,0.01,0.1,0.5
0132,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,true,0,0.01,0.1,0.5
0133,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,true,false,0,0.01,0.1,0.5
0134,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,true,0,0.01,0.1,0.5
0135,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.001,0,false,false,0,0.01,0.1,0.5
0136,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,1,0.01,0,true,true,0,0.01,0.1,0.5
