cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma
0070,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0071,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Convolution,true,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0072,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0073,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0074,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0075,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0076,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0077,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0078,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0079,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0080,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0081,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0082,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0083,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0084,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0085,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0086,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0087,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0088,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0089,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,false,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0090,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0091,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0092,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0093,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0001,0,0,0.1,0.5
0094,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.0005,0,0,0.1,0.5
0095,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,true,true,3,100,12,12,0,0,NMI,64,true,5,2.5,0.001,0,0,0.1,0.5
0096,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
0097,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.00001,0,0,0.1,0.5
0098,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0099,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0100,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0101,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0102,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,DMFFD,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0103,false,false,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0104,false,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0105,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0106,false,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0107,false,true,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0108,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0109,true,false,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0110,true,false,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0111,true,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0112,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0113,true,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0114,false,false,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0115,false,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0116,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0117,false,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0118,false,true,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0119,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0120,true,false,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0121,true,false,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0122,true,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0123,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0124,true,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0125,false,false,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0126,false,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0127,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0128,false,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0129,false,true,Domain,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0130,true,false,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0131,true,false,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0132,true,false,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0133,true,true,Overlap,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
